id,name,address,longitude,latitude,district,brand_type,subway_count,bus_count,restaurant_count,competitor_count
B0GKOM5R4J,古董花园•Antique,思南路44号,121.466919,31.216559,黄浦区,独立/精品,1,7,21,51
B0FFHIG9TI,星巴克臻选(上海K11购物艺术中心店),淮海中路300号K11艺术中心一楼106室,121.47358,31.223745,黄浦区,国际连锁,1,28,29,41
B0JUASX1MZ,星巴克(上海打浦桥日月光2店),"徐家汇路610号日月光中心瑞金区1层1F-A08单元,地铁4号口旁",121.467487,31.206413,黄浦区,国际连锁,1,6,25,36
B0J64A7CRC,NAO!CAFE,淮海中路700号一楼A区咖啡厅(华狮广场后方),121.46479,31.219826,黄浦区,独立/精品,1,7,31,52
B0FFL6DSAJ,星巴克(复兴荟店),盐城路58号(老西门地铁站2号口步行150米),121.484132,31.217193,黄浦区,国际连锁,1,15,8,7
B0FFH3RX03,BIG SUR COFFEE(蒙自路店),丽园路842弄之20-51号甲北蒙三小区,121.477775,31.205475,黄浦区,独立/精品,1,9,7,19
B0HKOAD2KK,Marmalade,北海路261号(人民广场地铁站1号口步行270米),121.47814,31.230262,黄浦区,独立/精品,2,21,43,58
B0FFJBC1V8,星巴克(来福士2F店),西藏中路268号来福士广场02-05室,121.476594,31.231892,黄浦区,国际连锁,1,18,44,71
B0FFF0DNUP,星巴克臻选(南车站路店),南车站路600弄20号世博甲F栋,121.493992,31.202773,黄浦区,国际连锁,1,7,5,9
B0HUGMQO9S,Tims咖啡(南六店),西藏南路666号1层102A单元,121.48359,31.217241,黄浦区,国际连锁,1,17,7,8
B00155KIP4,星巴克(新金桥店),西藏中路579-581号,121.473443,31.237165,黄浦区,国际连锁,0,10,41,43
B0FFJ5N0Q3,% Arabica阿拉比卡咖啡(烘焙工坊),圆明园路169号协进大楼1层,121.487957,31.242282,黄浦区,国际连锁,0,13,53,39
B0FFF649G5,星巴克(申大厦店),南京东路229号2楼S215(南京东路地铁站出入口旁),121.484328,31.236895,黄浦区,国际连锁,1,18,45,50
